"metropolitan_area","rate","rank","year"
"Oklahoma City, OK Metropolitan Statistical Area",4,2,"2014"
"Austin-Round Rock, TX Metropolitan Statistical Area",4.2,4,"2014"
"San Antonio-New Braunfels, TX Metropolitan Statistical Area",4.6,5,"2014"
"Denver-Aurora-Lakewood, CO Metropolitan Statistical Area",4.8,6,"2014"
"Columbus, OH Metropolitan Statistical Area",4.9,7,"2014"
"Houston-The Woodlands-Sugar Land, TX Metropolitan Statistical Area",4.9,7,"2014"
"Dallas-Fort Worth-Arlington, TX Metropolitan Statistical Area",5,9,"2014"
"Raleigh, NC Metropolitan Statistical Area",5.1,10,"2014"
"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area",5.1,10,"2014"
"Boston-Cambridge-Nashua, MA-NH Metropolitan NECTA",5.2,12,"2014"
"Nashville-Davidson--Murfreesboro--Franklin, TN Metropolitan Statistical Area",5.2,12,"2014"
"San Francisco-Oakland-Hayward, CA Metropolitan Statistical Area",5.2,12,"2014"
"San Jose-Sunnyvale-Santa Clara, CA Metropolitan Statistical Area",5.3,15,"2014"
"Seattle-Tacoma-Bellevue, WA Metropolitan Statistical Area",5.3,15,"2014"
"Cincinnati, OH-KY-IN Metropolitan Statistical Area",5.5,17,"2014"
"Richmond, VA Metropolitan Statistical Area",5.5,17,"2014"
"Kansas City, MO-KS Metropolitan Statistical Area",5.6,19,"2014"
"Indianapolis-Carmel-Anderson, IN Metropolitan Statistical Area",5.7,20,"2014"
"Pittsburgh, PA Metropolitan Statistical Area",5.7,20,"2014"
"Virginia Beach-Norfolk-Newport News, VA-NC Metropolitan Statistical Area",5.7,20,"2014"
"Louisville/Jefferson County, KY-IN Metropolitan Statistical Area",5.8,23,"2014"
"Milwaukee-Waukesha-West Allis, WI Metropolitan Statistical Area",5.8,23,"2014"
"Rochester, NY Metropolitan Statistical Area",5.8,23,"2014"
"Phoenix-Mesa-Scottsdale, AZ Metropolitan Statistical Area",5.9,26,"2014"
"Baltimore-Columbia-Towson, MD Metropolitan Statistical Area",6,27,"2014"
"Birmingham-Hoover, AL Metropolitan Statistical Area",6,27,"2014"
"Cleveland-Elyria, OH Metropolitan Statistical Area",6,27,"2014"
"Orlando-Kissimmee-Sanford, FL Metropolitan Statistical Area",6,27,"2014"
"Tampa-St. Petersburg-Clearwater, FL Metropolitan Statistical Area",6,27,"2014"
"Portland-Vancouver-Hillsboro, OR-WA Metropolitan Statistical Area",6.1,32,"2014"
"Charlotte-Concord-Gastonia, NC-SC Metropolitan Statistical Area",6.2,33,"2014"
"Jacksonville, FL Metropolitan Statistical Area",6.2,33,"2014"
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metropolitan Statistical Area",6.2,33,"2014"
"Buffalo-Cheektowaga-Niagara Falls, NY Metropolitan Statistical Area",6.3,36,"2014"
"Miami-Fort Lauderdale-West Palm Beach, FL Metropolitan Statistical Area",6.3,36,"2014"
"St. Louis, MO-IL Metropolitan Statistical Area(1)",6.3,36,"2014"
"New Orleans-Metairie, LA Metropolitan Statistical Area",6.4,39,"2014"
"San Diego-Carlsbad, CA Metropolitan Statistical Area",6.4,39,"2014"
"New York-Newark-Jersey City, NY-NJ-PA Metropolitan Statistical Area",6.5,41,"2014"
"Hartford-West Hartford-East Hartford, CT Metropolitan NECTA",6.6,42,"2014"
"Atlanta-Sandy Springs-Roswell, GA Metropolitan Statistical Area",6.7,43,"2014"
"Chicago-Naperville-Elgin, IL-IN-WI Metropolitan Statistical Area",7.1,44,"2014"
"Sacramento--Roseville--Arden-Arcade, CA Metropolitan Statistical Area",7.1,44,"2014"
"Memphis, TN-MS-AR Metropolitan Statistical Area",7.4,46,"2014"
"Providence-Warwick, RI-MA Metropolitan NECTA",7.5,47,"2014"
"Los Angeles-Long Beach-Anaheim, CA Metropolitan Statistical Area",7.6,48,"2014"
"Las Vegas-Henderson-Paradise, NV Metropolitan Statistical Area",8,49,"2014"
"Riverside-San Bernardino-Ontario, CA Metropolitan Statistical Area",8.1,50,"2014"
"Detroit-Warren-Dearborn, MI Metropolitan Statistical Area",8.2,51,"2014"
"Footnotes",NA,NA,"2014"
"(1) Area boundaries do not reflect official OMB definitions.",NA,NA,"2014"
"Note: Rates shown are a percentage of the labor force. Data refer to place of residence. Areas in the six New England states are Metropolitan New England City and Town Areas (NECTAs), while areas in other states are county-based. ",NA,NA,"2014"
"Austin-Round Rock, TX Metropolitan Statistical Area",3.4,1,"2015"
"Minneapolis-St. Paul-Bloomington, MN-WI Metropolitan Statistical Area",3.4,1,"2015"
"Salt Lake City, UT Metropolitan Statistical Area",3.4,1,"2015"
"Denver-Aurora-Lakewood, CO Metropolitan Statistical Area",3.7,4,"2015"
"San Antonio-New Braunfels, TX Metropolitan Statistical Area",3.8,5,"2015"
"Oklahoma City, OK Metropolitan Statistical Area",3.9,6,"2015"
"Dallas-Fort Worth-Arlington, TX Metropolitan Statistical Area",4.1,7,"2015"
"Columbus, OH Metropolitan Statistical Area",4.2,8,"2015"
"San Francisco-Oakland-Hayward, CA Metropolitan Statistical Area",4.2,8,"2015"
"Boston-Cambridge-Nashua, MA-NH Metropolitan NECTA",4.3,10,"2015"
"San Jose-Sunnyvale-Santa Clara, CA Metropolitan Statistical Area",4.3,10,"2015"
"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area",4.4,12,"2015"
"Cincinnati, OH-KY-IN Metropolitan Statistical Area",4.5,13,"2015"
"Indianapolis-Carmel-Anderson, IN Metropolitan Statistical Area",4.5,13,"2015"
"Nashville-Davidson--Murfreesboro--Franklin, TN Metropolitan Statistical Area",4.5,13,"2015"
"Houston-The Woodlands-Sugar Land, TX Metropolitan Statistical Area",4.6,16,"2015"
"Richmond, VA Metropolitan Statistical Area",4.6,16,"2015"
"Louisville/Jefferson County, KY-IN Metropolitan Statistical Area",4.7,18,"2015"
"Kansas City, MO-KS Metropolitan Statistical Area",4.8,19,"2015"
"Raleigh, NC Metropolitan Statistical Area",4.8,19,"2015"
"Seattle-Tacoma-Bellevue, WA Metropolitan Statistical Area",4.8,19,"2015"
"Milwaukee-Waukesha-West Allis, WI Metropolitan Statistical Area",4.9,22,"2015"
"Virginia Beach-Norfolk-Newport News, VA-NC Metropolitan Statistical Area",4.9,22,"2015"
"Cleveland-Elyria, OH Metropolitan Statistical Area",5,24,"2015"
"Rochester, NY Metropolitan Statistical Area",5.1,25,"2015"
"St. Louis, MO-IL Metropolitan Statistical Area(1)",5.1,25,"2015"
"Orlando-Kissimmee-Sanford, FL Metropolitan Statistical Area",5.2,27,"2015"
"Phoenix-Mesa-Scottsdale, AZ Metropolitan Statistical Area",5.2,27,"2015"
"Portland-Vancouver-Hillsboro, OR-WA Metropolitan Statistical Area",5.2,27,"2015"
"San Diego-Carlsbad, CA Metropolitan Statistical Area",5.2,27,"2015"
"Tampa-St. Petersburg-Clearwater, FL Metropolitan Statistical Area",5.2,27,"2015"
"Baltimore-Columbia-Towson, MD Metropolitan Statistical Area",5.3,32,"2015"
"New York-Newark-Jersey City, NY-NJ-PA Metropolitan Statistical Area",5.3,32,"2015"
"Pittsburgh, PA Metropolitan Statistical Area",5.3,32,"2015"
"Jacksonville, FL Metropolitan Statistical Area",5.4,35,"2015"
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metropolitan Statistical Area",5.4,35,"2015"
"Birmingham-Hoover, AL Metropolitan Statistical Area",5.5,37,"2015"
"Buffalo-Cheektowaga-Niagara Falls, NY Metropolitan Statistical Area",5.5,37,"2015"
"Charlotte-Concord-Gastonia, NC-SC Metropolitan Statistical Area",5.5,37,"2015"
"Miami-Fort Lauderdale-West Palm Beach, FL Metropolitan Statistical Area",5.5,37,"2015"
"Atlanta-Sandy Springs-Roswell, GA Metropolitan Statistical Area",5.7,41,"2015"
"Hartford-West Hartford-East Hartford, CT Metropolitan NECTA",5.7,41,"2015"
"Chicago-Naperville-Elgin, IL-IN-WI Metropolitan Statistical Area",5.9,43,"2015"
"Detroit-Warren-Dearborn, MI Metropolitan Statistical Area",5.9,43,"2015"
"Providence-Warwick, RI-MA Metropolitan NECTA",5.9,43,"2015"
"Sacramento--Roseville--Arden-Arcade, CA Metropolitan Statistical Area",5.9,43,"2015"
"New Orleans-Metairie, LA Metropolitan Statistical Area",6,47,"2015"
"Los Angeles-Long Beach-Anaheim, CA Metropolitan Statistical Area",6.1,48,"2015"
"Memphis, TN-MS-AR Metropolitan Statistical Area",6.3,49,"2015"
"Riverside-San Bernardino-Ontario, CA Metropolitan Statistical Area",6.6,50,"2015"
"Las Vegas-Henderson-Paradise, NV Metropolitan Statistical Area",6.8,51,"2015"
"Footnotes",NA,NA,"2015"
"(1) Area boundaries do not reflect official OMB definitions.",NA,NA,"2015"
"Note: Rates shown are a percentage of the labor force. Data refer to place of residence. Areas in the six New England states are Metropolitan New England City and Town Areas (NECTAs), while areas in other states are county-based. ",NA,NA,"2015"
"Denver-Aurora-Lakewood, CO Metropolitan Statistical Area",3.1,1,"2016"
"Salt Lake City, UT Metropolitan Statistical Area",3.2,2,"2016"
"Austin-Round Rock, TX Metropolitan Statistical Area",3.3,3,"2016"
"Boston-Cambridge-Nashua, MA-NH Metropolitan NECTA",3.5,4,"2016"
"Minneapolis-St. Paul-Bloomington, MN-WI Metropolitan Statistical Area",3.5,4,"2016"
"Nashville-Davidson--Murfreesboro--Franklin, TN Metropolitan Statistical Area",3.7,6,"2016"
"San Antonio-New Braunfels, TX Metropolitan Statistical Area",3.8,7,"2016"
"San Francisco-Oakland-Hayward, CA Metropolitan Statistical Area",3.8,7,"2016"
"Dallas-Fort Worth-Arlington, TX Metropolitan Statistical Area",3.9,9,"2016"
"San Jose-Sunnyvale-Santa Clara, CA Metropolitan Statistical Area",3.9,9,"2016"
"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area",3.9,9,"2016"
"Indianapolis-Carmel-Anderson, IN Metropolitan Statistical Area",4.1,12,"2016"
"Columbus, OH Metropolitan Statistical Area",4.2,13,"2016"
"Oklahoma City, OK Metropolitan Statistical Area",4.2,13,"2016"
"Richmond, VA Metropolitan Statistical Area",4.2,13,"2016"
"Kansas City, MO-KS Metropolitan Statistical Area",4.3,16,"2016"
"Louisville/Jefferson County, KY-IN Metropolitan Statistical Area",4.3,16,"2016"
"Milwaukee-Waukesha-West Allis, WI Metropolitan Statistical Area",4.3,16,"2016"
"Cincinnati, OH-KY-IN Metropolitan Statistical Area",4.4,19,"2016"
"Raleigh, NC Metropolitan Statistical Area",4.4,19,"2016"
"Seattle-Tacoma-Bellevue, WA Metropolitan Statistical Area",4.4,19,"2016"
"Orlando-Kissimmee-Sanford, FL Metropolitan Statistical Area",4.5,22,"2016"
"Baltimore-Columbia-Towson, MD Metropolitan Statistical Area",4.6,23,"2016"
"Jacksonville, FL Metropolitan Statistical Area",4.6,23,"2016"
"Phoenix-Mesa-Scottsdale, AZ Metropolitan Statistical Area",4.6,23,"2016"
"Portland-Vancouver-Hillsboro, OR-WA Metropolitan Statistical Area",4.6,23,"2016"
"St. Louis, MO-IL Metropolitan Statistical Area(1)",4.6,23,"2016"
"Tampa-St. Petersburg-Clearwater, FL Metropolitan Statistical Area",4.6,23,"2016"
"Rochester, NY Metropolitan Statistical Area",4.7,29,"2016"
"San Diego-Carlsbad, CA Metropolitan Statistical Area",4.7,29,"2016"
"Virginia Beach-Norfolk-Newport News, VA-NC Metropolitan Statistical Area",4.7,29,"2016"
"Charlotte-Concord-Gastonia, NC-SC Metropolitan Statistical Area",4.8,32,"2016"
"New York-Newark-Jersey City, NY-NJ-PA Metropolitan Statistical Area",4.8,32,"2016"
"Miami-Fort Lauderdale-West Palm Beach, FL Metropolitan Statistical Area",4.9,34,"2016"
"Los Angeles-Long Beach-Anaheim, CA Metropolitan Statistical Area",5,35,"2016"
"Atlanta-Sandy Springs-Roswell, GA Metropolitan Statistical Area",5.1,36,"2016"
"Buffalo-Cheektowaga-Niagara Falls, NY Metropolitan Statistical Area",5.1,36,"2016"
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metropolitan Statistical Area",5.1,36,"2016"
"Providence-Warwick, RI-MA Metropolitan NECTA",5.1,36,"2016"
"Hartford-West Hartford-East Hartford, CT Metropolitan NECTA",5.2,40,"2016"
"Memphis, TN-MS-AR Metropolitan Statistical Area",5.2,40,"2016"
"Detroit-Warren-Dearborn, MI Metropolitan Statistical Area",5.3,42,"2016"
"Houston-The Woodlands-Sugar Land, TX Metropolitan Statistical Area",5.3,42,"2016"
"Sacramento--Roseville--Arden-Arcade, CA Metropolitan Statistical Area",5.3,42,"2016"
"Cleveland-Elyria, OH Metropolitan Statistical Area",5.4,45,"2016"
"Birmingham-Hoover, AL Metropolitan Statistical Area",5.5,46,"2016"
"New Orleans-Metairie, LA Metropolitan Statistical Area",5.5,46,"2016"
"Pittsburgh, PA Metropolitan Statistical Area",5.6,48,"2016"
"Chicago-Naperville-Elgin, IL-IN-WI Metropolitan Statistical Area",5.8,49,"2016"
"Las Vegas-Henderson-Paradise, NV Metropolitan Statistical Area",5.9,50,"2016"
"Riverside-San Bernardino-Ontario, CA Metropolitan Statistical Area",6,51,"2016"
"Footnotes",NA,NA,"2016"
"(1) Area boundaries do not reflect official OMB definitions.",NA,NA,"2016"
"Note: Rates shown are a percentage of the labor force. Data refer to place of residence. Areas in the six New England states are Metropolitan New England City and Town Areas (NECTAs), while areas in other states are county-based. ",NA,NA,"2016"
"Denver-Aurora-Lakewood, CO Metropolitan Statistical Area",2.7,1,"2017"
"Nashville-Davidson--Murfreesboro--Franklin, TN Metropolitan Statistical Area",2.9,2,"2017"
"Austin-Round Rock, TX Metropolitan Statistical Area",3.1,3,"2017"
"Salt Lake City, UT Metropolitan Statistical Area",3.1,3,"2017"
"Minneapolis-St. Paul-Bloomington, MN-WI Metropolitan Statistical Area",3.2,5,"2017"
"Indianapolis-Carmel-Anderson, IN Metropolitan Statistical Area",3.3,6,"2017"
"San Francisco-Oakland-Hayward, CA Metropolitan Statistical Area",3.3,6,"2017"
"San Jose-Sunnyvale-Santa Clara, CA Metropolitan Statistical Area",3.3,6,"2017"
"Boston-Cambridge-Nashua, MA-NH Metropolitan NECTA",3.4,9,"2017"
"Milwaukee-Waukesha-West Allis, WI Metropolitan Statistical Area",3.5,10,"2017"
"San Antonio-New Braunfels, TX Metropolitan Statistical Area",3.5,10,"2017"
"Dallas-Fort Worth-Arlington, TX Metropolitan Statistical Area",3.6,12,"2017"
"St. Louis, MO-IL Metropolitan Statistical Area(1)",3.7,13,"2017"
"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area",3.7,13,"2017"
"Kansas City, MO-KS Metropolitan Statistical Area",3.8,15,"2017"
"Orlando-Kissimmee-Sanford, FL Metropolitan Statistical Area",3.8,15,"2017"
"Jacksonville, FL Metropolitan Statistical Area",3.9,17,"2017"
"Oklahoma City, OK Metropolitan Statistical Area",3.9,17,"2017"
"Portland-Vancouver-Hillsboro, OR-WA Metropolitan Statistical Area",3.9,17,"2017"
"Richmond, VA Metropolitan Statistical Area",3.9,17,"2017"
"Tampa-St. Petersburg-Clearwater, FL Metropolitan Statistical Area",3.9,17,"2017"
"Birmingham-Hoover, AL Metropolitan Statistical Area",4,22,"2017"
"Raleigh, NC Metropolitan Statistical Area",4,22,"2017"
"San Diego-Carlsbad, CA Metropolitan Statistical Area",4,22,"2017"
"Columbus, OH Metropolitan Statistical Area",4.1,25,"2017"
"Louisville/Jefferson County, KY-IN Metropolitan Statistical Area",4.1,25,"2017"
"Seattle-Tacoma-Bellevue, WA Metropolitan Statistical Area",4.1,25,"2017"
"Phoenix-Mesa-Scottsdale, AZ Metropolitan Statistical Area",4.2,28,"2017"
"Virginia Beach-Norfolk-Newport News, VA-NC Metropolitan Statistical Area",4.2,28,"2017"
"Baltimore-Columbia-Towson, MD Metropolitan Statistical Area",4.3,30,"2017"
"Charlotte-Concord-Gastonia, NC-SC Metropolitan Statistical Area",4.3,30,"2017"
"Cincinnati, OH-KY-IN Metropolitan Statistical Area",4.3,30,"2017"
"Memphis, TN-MS-AR Metropolitan Statistical Area",4.3,30,"2017"
"Miami-Fort Lauderdale-West Palm Beach, FL Metropolitan Statistical Area",4.3,30,"2017"
"Detroit-Warren-Dearborn, MI Metropolitan Statistical Area",4.4,35,"2017"
"Los Angeles-Long Beach-Anaheim, CA Metropolitan Statistical Area",4.4,35,"2017"
"Atlanta-Sandy Springs-Roswell, GA Metropolitan Statistical Area",4.5,37,"2017"
"New York-Newark-Jersey City, NY-NJ-PA Metropolitan Statistical Area",4.5,37,"2017"
"Providence-Warwick, RI-MA Metropolitan NECTA",4.5,37,"2017"
"Sacramento--Roseville--Arden-Arcade, CA Metropolitan Statistical Area",4.5,37,"2017"
"Hartford-West Hartford-East Hartford, CT Metropolitan NECTA",4.7,41,"2017"
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metropolitan Statistical Area",4.7,41,"2017"
"New Orleans-Metairie, LA Metropolitan Statistical Area",4.8,43,"2017"
"Chicago-Naperville-Elgin, IL-IN-WI Metropolitan Statistical Area",4.9,44,"2017"
"Houston-The Woodlands-Sugar Land, TX Metropolitan Statistical Area",5,45,"2017"
"Pittsburgh, PA Metropolitan Statistical Area",5,45,"2017"
"Rochester, NY Metropolitan Statistical Area",5,45,"2017"
"Riverside-San Bernardino-Ontario, CA Metropolitan Statistical Area",5.1,48,"2017"
"Las Vegas-Henderson-Paradise, NV Metropolitan Statistical Area",5.2,49,"2017"
"Buffalo-Cheektowaga-Niagara Falls, NY Metropolitan Statistical Area",5.4,50,"2017"
"Cleveland-Elyria, OH Metropolitan Statistical Area",5.7,51,"2017"
"Footnotes",NA,NA,"2017"
"(1) Area boundaries do not reflect official OMB definitions.",NA,NA,"2017"
"Note: Rates shown are a percentage of the labor force. Data refer to place of residence. Areas in the six New England states are Metropolitan New England City and Town Areas (NECTAs), while areas in other states are county-based. ",NA,NA,"2017"
